group_id,source_row_id,farmer_name,product,weight_kg,origin,destination,products_in_group,total_group_weight_kg,refrigerated_required,route,legs_for_display,is_multimodal,modes_used,total_cost_INR,gross_transport_cost_INR,kisan_rail_subsidy_INR,planned_time_hr,transfer_handling_time_hr,expected_delay_hr,total_expected_time_hr,shelf_life_hours,remaining_shelf_life_at_planned_arrival_hr,predicted_spoilage_risk_pct,predicted_spoilage_risk_level,compatibility_score,compatibility_headline,compatibility_tips,group_summary_text,route_selection_explanation,all_candidate_routes
G0001,,Rahul,Potato,1000.0,Bhubaneswar,Angul,Potato,1000.0,False,Bhubaneswar -> Angul,"[{'from': 'Bhubaneswar', 'to': 'Angul', 'mode': 'Road', 'distance_km': 96.6, 'vehicle_no': 'OD-04-AG-7575', 'size_class': 'Medium', 'cost_INR': 2195.16, 'gross_cost_INR': 2195.16, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(2.19), 'num_trips': 1, 'driver_name': 'Prasant Naik', 'driver_contact': '+91 94377 88990', 'vehicles': [{'vehicle_no': 'OD-04-AG-7575', 'size_class': 'Medium', 'current_location': 'Angul', 'weight_kg': 1000.0, 'trips': 1, 'driver_name': 'Prasant Naik', 'driver_contact': '+91 94377 88990', 'order_id': 'G0001-T1'}]}]",False,Road,2195.16,2195.16,0.0,2.19,0,0.7,2.89,2160.0,2157.11,0.1,Low,100,Single product load — no special handling needed.,[],Potato: single-product load,Selected Road because its risk-adjusted cost was lowest. Gross cost INR 2195.16; Kisan Rail subsidy INR 0.00; net cost INR 2195.16; expected transit 2.89 hr.,"- Road only: expected transit=2.89 hr, net cost=INR2195.16, predicted spoilage risk=0.1% (Low)"
G0002,,Rahul,Mango,500.0,Bhubaneswar,Delhi,Mango,500.0,True,Bhubaneswar -> Delhi,"[{'from': 'Bhubaneswar', 'to': 'Delhi', 'mode': 'Rail', 'distance_km': 1284.7, 'vehicle_no': 'KRS-RAIL-01', 'size_class': 'X-Large', 'cost_INR': 5032.86, 'gross_cost_INR': 10065.73, 'kisan_rail_subsidy_INR': 5032.86, 'time_hr': np.float64(23.36), 'num_trips': 1, 'driver_name': 'Kisan Rail Control (Zonal)', 'driver_contact': '1800-419-0688', 'vehicles': [{'vehicle_no': 'KRS-RAIL-01', 'size_class': 'X-Large', 'current_location': 'Bhubaneswar', 'weight_kg': 500.0, 'trips': 1, 'driver_name': 'Kisan Rail Control (Zonal)', 'driver_contact': '1800-419-0688', 'order_id': 'G0002-T1'}]}]",False,Rail,5032.86,10065.73,5032.86,23.36,0,3.77,27.13,192.0,164.87,14.1,Low,100,Single product load — no special handling needed.,[],Mango: single-product load,Selected Rail because its risk-adjusted cost was lowest. Gross cost INR 10065.73; Kisan Rail subsidy INR 5032.86; net cost INR 5032.86; expected transit 27.13 hr.,"- Road only: expected transit=42.73 hr, net cost=INR19044.85, predicted spoilage risk=22.3% (Low)
- Rail only: expected transit=27.13 hr, net cost=INR5032.86, predicted spoilage risk=14.1% (Low)"
G0001,,Anurag,Rice,10.0,Angul,Puri,Rice,10.0,False,Angul -> Puri,"[{'from': 'Angul', 'to': 'Puri', 'mode': 'Road', 'distance_km': 137.5, 'vehicle_no': 'OD-16-XL-4002', 'size_class': 'X-Large', 'cost_INR': 5816.5, 'gross_cost_INR': 5816.5, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(3.13), 'num_trips': 1, 'driver_name': 'Niranjan Behera', 'driver_contact': '9812345685', 'vehicles': [{'vehicle_no': 'OD-16-XL-4002', 'size_class': 'X-Large', 'current_location': 'Angul', 'weight_kg': 10.0, 'trips': 1, 'driver_name': 'Niranjan Behera', 'driver_contact': '9812345685', 'order_id': 'G0001-T1'}]}]",False,Road,5816.5,5816.5,0.0,3.13,0,0.44,3.57,8760.0,8756.43,0.0,Low,100,Single product load — no special handling needed.,[],Rice: single-product load,Selected Road because its risk-adjusted cost was lowest. Gross cost INR 5816.50; Kisan Rail subsidy INR 0.00; net cost INR 5816.50; expected transit 3.57 hr.,"- Road only: expected transit=3.57 hr, net cost=INR5816.50, predicted spoilage risk=0.0% (Low)
- Rail only: expected transit=3.21 hr, net cost=INR12012.38, predicted spoilage risk=0.0% (Low)"
G0002,,Anurag,Apple,30.0,Angul,Puri,Apple,30.0,True,Angul -> Puri,"[{'from': 'Angul', 'to': 'Puri', 'mode': 'Road', 'distance_km': 137.5, 'vehicle_no': 'OD-08-M-2004', 'size_class': 'Medium', 'cost_INR': 2732.02, 'gross_cost_INR': 2732.02, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(3.44), 'num_trips': 1, 'driver_name': 'Krishna Rout', 'driver_contact': '9812345678', 'vehicles': [{'vehicle_no': 'OD-08-M-2004', 'size_class': 'Medium', 'current_location': 'Angul', 'weight_kg': 30.0, 'trips': 1, 'driver_name': 'Krishna Rout', 'driver_contact': '9812345678', 'order_id': 'G0002-T1'}]}]",False,Road,2732.02,2732.02,0.0,3.44,0,0.44,3.88,2160.0,2156.12,0.2,Low,100,Single product load — no special handling needed.,[],Apple: single-product load,Selected Road because its risk-adjusted cost was lowest. Gross cost INR 2732.02; Kisan Rail subsidy INR 0.00; net cost INR 2732.02; expected transit 3.88 hr.,"- Road only: expected transit=3.88 hr, net cost=INR2732.02, predicted spoilage risk=0.2% (Low)
- Rail only: expected transit=3.46 hr, net cost=INR21022.69, predicted spoilage risk=0.2% (Low)"
G0001,,Rahul,Rice,10000.0,Bhubaneswar,Balangir,"Rice, Wheat",15000.0,False,Bhubaneswar -> Balangir,"[{'from': 'Bhubaneswar', 'to': 'Balangir', 'mode': 'Road', 'distance_km': 246.9, 'vehicle_no': 'OD-15-XL-4001', 'size_class': 'X-Large', 'cost_INR': 46740.42, 'gross_cost_INR': 46740.42, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(5.49), 'num_trips': 1, 'driver_name': 'Chandra Sekhar', 'driver_contact': '9812345684', 'vehicles': [{'vehicle_no': 'OD-15-XL-4001', 'size_class': 'X-Large', 'current_location': 'Rourkela', 'weight_kg': 15000.0, 'trips': 1, 'driver_name': 'Chandra Sekhar', 'driver_contact': '9812345684', 'order_id': 'G0001-T1'}]}]",False,Road,31160.28,31160.28,0.0,5.49,0,0.78,6.27,8760.0,8753.73,0.1,Low,100,Safe to pool — no special precautions needed.,[],"Rice, Wheat",Selected Road because its risk-adjusted cost was lowest. Gross cost INR 31160.28; Kisan Rail subsidy INR 0.00; net cost INR 31160.28; expected transit 6.27 hr.,"- Road only: expected transit=6.27 hr, net cost=INR46740.42, predicted spoilage risk=0.1% (Low)"
G0001,,Rahul,Wheat,5000.0,Bhubaneswar,Balangir,"Rice, Wheat",15000.0,False,Bhubaneswar -> Balangir,"[{'from': 'Bhubaneswar', 'to': 'Balangir', 'mode': 'Road', 'distance_km': 246.9, 'vehicle_no': 'OD-15-XL-4001', 'size_class': 'X-Large', 'cost_INR': 46740.42, 'gross_cost_INR': 46740.42, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(5.49), 'num_trips': 1, 'driver_name': 'Chandra Sekhar', 'driver_contact': '9812345684', 'vehicles': [{'vehicle_no': 'OD-15-XL-4001', 'size_class': 'X-Large', 'current_location': 'Rourkela', 'weight_kg': 15000.0, 'trips': 1, 'driver_name': 'Chandra Sekhar', 'driver_contact': '9812345684', 'order_id': 'G0001-T1'}]}]",False,Road,15580.14,15580.14,0.0,5.49,0,0.78,6.27,8760.0,8753.73,0.1,Low,100,Safe to pool — no special precautions needed.,[],"Rice, Wheat",Selected Road because its risk-adjusted cost was lowest. Gross cost INR 15580.14; Kisan Rail subsidy INR 0.00; net cost INR 15580.14; expected transit 6.27 hr.,"- Road only: expected transit=6.27 hr, net cost=INR46740.42, predicted spoilage risk=0.1% (Low)"
G0001,,Rahul,Watermelon,500.0,Puri,Dhenkanal,Watermelon,500.0,True,Puri -> Dhenkanal,"[{'from': 'Puri', 'to': 'Dhenkanal', 'mode': 'Road', 'distance_km': 97.5, 'vehicle_no': 'OD-03-S-1003', 'size_class': 'Small', 'cost_INR': 3250.28, 'gross_cost_INR': 3250.28, 'kisan_rail_subsidy_INR': 0.0, 'time_hr': np.float64(2.57), 'num_trips': 1, 'driver_name': 'Anil Nayak', 'driver_contact': '9812345673', 'vehicles': [{'vehicle_no': 'OD-03-S-1003', 'size_class': 'Small', 'current_location': 'Puri', 'weight_kg': 500.0, 'trips': 1, 'driver_name': 'Anil Nayak', 'driver_contact': '9812345673', 'order_id': 'G0001-T1'}]}]",False,Road,3250.28,3250.28,0.0,2.57,0,0.31,2.88,504.0,501.12,0.6,Low,100,Single product load — no special handling needed.,[],Watermelon: single-product load,Selected Road because its risk-adjusted cost was lowest. Gross cost INR 3250.28; Kisan Rail subsidy INR 0.00; net cost INR 3250.28; expected transit 2.88 hr.,"- Road only: expected transit=2.88 hr, net cost=INR3250.28, predicted spoilage risk=0.6% (Low)"
